,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
651,1364,87.5,66.2,4,Evening
652,91,93.95,59.54,4,Night
653,178,93.09,59.55,4,Early Morning
654,168,87.36,42.83,4,Early Morning
655,2212,90.67,68.07,4,Morning
656,348,85.55,40.18,4,Morning
657,235,87.25,36.69,4,Morning
658,173,85.88,37.2,4,Morning
659,352,88.59,47.61,4,Noon
660,188,82.72,34.4,4,Noon
661,0,82.44,21.85,4,Noon
662,64,81.12,29.58,4,Noon
663,1402,83.56,49.03,4,Evening
664,1427,80.89,52.3,4,Evening
665,594,91.35,73.98,4,Evening
666,420,94.0,82.57,4,Evening
667,1177,81.56,52.22,4,Night
668,582,80.63,47.41,4,Night
669,456,99.0,89.88,4,Night
670,0,134.0,27.0,4,Night
671,0,134.0,23.0,4,Late Night
672,0,134.0,26.0,4,Late Night
673,0,134.0,15.0,4,Early Morning
674,0,134.0,17.25,4,Early Morning
675,870,97.77,62.77,4,Early Morning
676,1681,82.95,61.6,4,Early Morning
677,7,81.08,35.56,4,Morning
678,165,83.43,38.13,4,Morning
679,358,85.57,44.68,4,Morning
680,861,87.77,54.3,4,Morning
681,1275,92.36,67.0,4,Noon
682,491,84.29,52.73,4,Noon
683,645,92.14,67.35,4,Noon
684,489,86.56,43.5,4,Noon
685,1093,89.6,63.1,4,Evening
686,1239,92.31,68.26,4,Evening
687,1161,83.39,61.62,4,Evening
688,142,86.15,53.92,4,Evening
689,179,84.84,54.58,4,Night
690,97,89.1,37.7,5,Night
691,222,86.4,55.7,5,Night
692,0,115.0,7.0,5,Night
693,258,92.66,60.52,5,Early Morning
694,247,85.82,54.75,5,Morning
695,261,87.83,48.35,5,Morning
696,331,86.13,53.18,4,Morning
697,4184,84.57,92.47,4,Morning
698,1498,93.14,73.57,4,Noon
699,781,91.73,66.51,4,Noon
700,261,88.7,49.87,4,Noon
701,288,87.62,66.75,5,Noon
702,253,90.18,55.25,5,Evening
703,407,85.07,55.77,5,Evening
704,487,85.94,60.43,5,Evening
705,179,86.94,51.12,5,Evening
706,124,86.77,54.42,5,Night
707,182,88.0,61.77,4,Night
708,70,83.92,39.05,4,Night
709,1948,92.44,81.1,4,Night
710,355,89.2,59.05,4,Late Night
711,176,84.0,53.09,4,Late Night
712,0,87.33,32.5,4,Late Night
713,26,126.5,44.64,4,Late Night
714,282,98.91,66.62,4,Early Morning
715,0,87.33,17.6,4,Early Morning
716,383,104.89,52.83,4,Early Morning
717,99,86.67,33.31,4,Early Morning
718,389,83.64,59.52,4,Morning
719,96,86.38,58.36,4,Morning
720,128,110.82,43.39,5,Morning
721,342,93.95,49.5,5,Noon
722,1811,90.95,71.4,5,Noon
723,1821,88.53,63.22,5,Noon
724,148,91.29,47.0,4,Noon
725,1194,89.6,65.29,4,Evening
726,39,87.3,45.97,4,Evening
727,839,96.0,82.08,4,Evening
728,427,88.0,52.36,4,Evening
729,67,84.48,32.8,4,Night
730,46,84.27,39.62,4,Night
731,0,87.33,26.0,4,Night
732,0,87.33,28.33,4,Night
733,0,87.33,17.0,4,Late Night
734,0,87.33,26.6,4,Late Night
735,9,87.33,15.88,4,Late Night
736,0,87.33,21.5,4,Late Night
737,0,87.33,18.5,4,Early Morning
738,0,113.8,16.0,4,Early Morning
739,0,87.33,18.36,4,Early Morning
740,7,92.43,36.75,4,Early Morning
741,307,89.14,52.56,4,Morning
742,1984,93.0,82.02,4,Morning
743,687,86.96,55.81,4,Morning
744,4118,92.57,90.88,4,Morning
745,336,86.48,48.47,4,Noon
746,1658,84.65,66.73,4,Noon
747,169,87.67,48.37,4,Noon
748,230,85.88,45.59,4,Noon
749,92,88.89,41.82,4,Evening
750,13,86.24,32.08,4,Evening
751,2099,85.0,67.44,4,Evening
752,414,83.2,47.82,4,Evening
753,18,80.63,31.29,4,Night
754,0,115.0,26.67,4,Early Morning
755,1345,95.79,72.89,4,Early Morning
