,steps,steps_so_far,heart_rate,min_heart,max_heart,raw_intensity,feeling_rate,time_of_day,gender
296,238,238,89.05,155.0,80.0,55.04,4,4,female
297,2450,2688,84.57,96.0,80.0,69.86,4,4,female
298,2309,4997,83.56,96.0,80.0,71.36,4,4,female
299,14,5011,87.86,96.0,80.0,29.32,4,4,female
300,37,5048,89.06,96.0,80.0,30.93,4,5,female
301,107,5155,86.52,96.0,80.0,46.05,4,5,female
302,489,5644,93.71,96.0,80.0,71.2,4,5,female
303,101,5745,91.14,96.0,80.0,46.03,4,5,female
304,1543,7288,87.7,96.0,80.0,62.59,4,6,female
305,27,7315,89.5,99.0,80.0,46.33,4,6,female
306,0,0,87.48,87.47572631179189,87.47572631179189,48.0,4,2,female
307,356,356,92.3,144.0,80.0,54.84,4,2,female
308,104,460,89.41,96.0,80.0,35.0,4,3,female
309,129,589,89.14,96.0,80.0,40.0,4,3,female
310,40,629,87.86,96.0,80.0,49.36,4,3,female
311,24,653,89.48,96.0,80.0,43.76,4,3,female
312,99,752,86.46,96.0,80.0,48.23,4,4,female
313,226,978,88.0,96.0,80.0,52.5,4,4,female
314,1415,2393,93.42,96.0,80.0,72.92,4,4,female
315,3004,5397,86.1,96.0,80.0,77.45,4,4,female
316,1328,6725,84.24,96.0,80.0,57.45,4,5,female
317,21,6746,80.89,96.0,80.0,24.45,4,5,female
318,0,6746,103.27,112.0,80.0,16.18,4,5,female
319,7,6753,82.92,124.0,80.0,30.48,4,5,female
320,1633,8386,85.52,96.0,80.0,59.62,4,6,female
321,1455,9841,91.64,99.0,80.0,72.68,4,6,female
322,0,0,114.4,115.0,112.0,29.2,4,6,female
323,244,244,102.26,144.0,96.0,105.46,4,4,female
324,367,611,92.8,96.0,80.0,84.52,4,4,female
325,169,780,88.85,96.0,80.0,44.83,4,5,female
326,9,789,86.07,96.0,80.0,30.69,4,5,female
327,7,796,82.44,96.0,80.0,33.88,4,5,female
328,64,860,83.67,96.0,80.0,27.66,4,5,female
329,7,867,82.69,96.0,80.0,30.38,4,6,female
330,724,724,144.0,144.0,144.0,102.43,4,2,female
331,1103,1827,86.55,96.0,50.0,50.73,4,2,female
332,61,1888,84.15,96.0,80.0,29.17,4,3,female
333,346,2234,82.55,96.0,80.0,35.93,4,3,female
334,193,2427,88.85,96.0,80.0,33.77,4,3,female
335,265,2692,87.64,96.0,80.0,33.91,4,3,female
336,251,2943,91.73,96.0,80.0,45.05,4,4,female
337,133,3076,84.92,96.0,80.0,32.47,4,4,female
338,1923,4999,87.8,96.0,49.0,75.76,4,4,female
339,598,5597,92.0,96.0,80.0,66.03,4,4,female
340,2699,8296,81.48,96.0,50.0,66.78,4,5,female
341,2013,10309,86.59,96.0,80.0,74.07,4,5,female
342,320,10629,85.33,96.0,80.0,40.9,4,5,female
343,101,10730,97.5,134.0,80.0,50.9,4,5,female
344,0,10730,134.0,134.0,134.0,14.0,4,6,female
345,192,192,90.71,144.0,80.0,39.2,4,3,female
346,566,758,88.62,96.0,80.0,59.3,4,3,female
347,0,758,81.66,96.0,80.0,24.34,4,3,female
348,249,1007,83.51,96.0,80.0,39.13,4,4,female
349,508,1515,88.0,96.0,80.0,45.5,4,4,female
350,318,1833,88.59,96.0,80.0,44.86,4,4,female
351,1814,3647,93.14,96.0,80.0,74.48,4,4,female
352,4077,7724,86.86,96.0,80.0,88.1,4,5,female
353,35,7759,86.11,96.0,80.0,27.47,4,5,female
354,206,7965,86.63,96.0,80.0,38.92,4,5,female
355,162,8127,88.51,96.0,80.0,34.98,4,5,female
356,92,8219,85.62,115.0,80.0,42.37,4,6,female
357,3,8222,87.48,87.47572631179189,87.47572631179189,50.0,4,6,female
358,1320,1320,107.45,155.0,80.0,86.0,3,2,female
359,964,2284,82.91,96.0,80.0,45.0,3,2,female
360,141,2425,80.96,96.0,80.0,33.62,3,3,female
361,181,2606,86.15,96.0,80.0,36.19,4,3,female
362,176,2782,89.85,96.0,80.0,30.81,4,3,female
363,0,2782,82.25,96.0,80.0,23.04,4,3,female
364,297,3079,85.57,96.0,80.0,34.73,4,4,female
365,308,3387,85.82,96.0,80.0,47.55,4,4,female
366,1761,5148,89.9,99.0,80.0,70.97,4,4,female
367,0,5148,96.0,96.0,96.0,6.0,4,4,female
368,2859,8007,91.46,161.0,80.0,75.5,4,5,female
369,853,8860,89.51,96.0,80.0,70.23,4,5,female
370,1157,10017,91.37,96.0,80.0,74.23,4,5,female
371,2972,12989,87.0,96.0,80.0,68.92,4,5,female
372,779,13768,85.82,96.0,80.0,46.0,4,6,female
373,216,13984,92.0,96.0,80.0,48.84,4,6,female
374,102,102,95.7,115.0,80.0,66.54,4,3,female
375,209,311,92.44,96.0,80.0,68.1,4,4,female
376,153,464,92.48,96.0,80.0,67.65,4,4,female
377,321,785,91.6,96.0,80.0,81.67,4,4,female
378,294,1079,94.0,96.0,80.0,77.57,4,4,female
379,1446,2525,96.0,96.0,96.0,86.15,4,5,female
380,3831,6356,91.2,96.0,80.0,88.44,4,5,female
381,767,7123,94.61,96.0,80.0,79.98,4,5,female
382,413,7536,93.02,96.0,80.0,73.33,4,5,female
383,355,7891,90.86,96.0,80.0,52.49,4,6,female
384,169,8060,86.63,96.0,80.0,37.34,4,6,female
385,380,380,97.21,129.0,80.0,51.36,4,3,female
386,217,597,89.39,96.0,80.0,43.34,4,3,female
387,218,815,92.8,96.0,80.0,47.22,4,3,female
388,755,1570,95.58,96.0,80.0,60.7,3,3,female
389,2746,4316,79.25,96.0,49.0,67.06,3,4,female
390,3637,7953,83.56,96.0,80.0,79.66,3,4,female
391,744,8697,83.9,96.0,80.0,50.47,3,4,female
392,10,8707,81.21,96.0,80.0,35.98,4,4,female
393,55,8762,83.93,96.0,80.0,42.68,4,5,female
394,21,8783,84.53,96.0,80.0,31.83,4,5,female
395,0,8783,87.24,96.0,80.0,22.48,4,5,female
396,0,8783,81.68,96.0,80.0,33.79,4,5,female
397,976,9759,89.24,124.0,80.0,55.67,4,6,female
398,1535,11294,83.43,96.0,80.0,68.0,4,6,female
399,93,93,92.75,155.0,80.0,33.89,4,2,female
400,396,489,84.32,96.0,80.0,42.73,4,3,female
401,254,743,90.53,96.0,80.0,47.68,4,3,female
402,103,846,87.11,96.0,80.0,34.31,3,3,female
403,45,891,86.77,96.0,80.0,34.44,3,3,female
404,209,1100,85.69,96.0,80.0,43.98,3,4,female
405,260,1360,87.41,96.0,80.0,43.69,3,4,female
406,180,1540,84.63,96.0,80.0,43.96,3,4,female
407,558,2098,92.44,96.0,80.0,85.75,3,4,female
408,125,2223,93.58,96.0,80.0,94.08,3,5,female
409,686,2909,88.77,96.0,80.0,63.34,3,5,female
410,59,2968,88.44,96.0,80.0,31.41,3,5,female
411,111,3079,81.25,96.0,80.0,30.1,3,5,female
412,0,3079,115.0,115.0,115.0,7.0,3,6,female
413,1170,1170,101.7,144.0,80.0,70.96,3,2,female
414,1196,2366,90.21,96.0,80.0,52.32,3,2,female
415,885,3251,88.35,96.0,80.0,39.67,3,3,female
416,283,3534,87.15,96.0,80.0,37.7,3,3,female
417,46,3580,85.61,96.0,80.0,32.83,3,3,female
418,195,3775,86.15,96.0,80.0,36.98,3,3,female
419,357,4132,88.36,96.0,80.0,41.67,3,4,female
420,1073,5205,88.21,96.0,80.0,49.67,3,4,female
421,2609,7814,82.67,96.0,80.0,65.05,3,4,female
422,0,7814,81.43,96.0,80.0,33.45,4,4,female
423,19,7833,80.28,96.0,80.0,34.47,4,5,female
424,2228,10061,81.07,96.0,80.0,61.91,4,5,female
425,187,10248,85.85,96.0,80.0,37.33,4,5,female
426,0,10248,82.07,96.0,80.0,27.02,4,5,female
427,166,10414,87.28,96.0,80.0,41.64,4,6,female
428,1406,1406,105.07,144.0,80.0,82.62,4,2,female
429,1098,2504,84.11,96.0,80.0,49.81,4,2,female
430,266,2770,83.27,96.0,80.0,34.71,4,3,female
431,241,3011,82.61,96.0,80.0,39.7,4,3,female
432,554,3565,85.71,96.0,80.0,41.09,4,3,female
433,63,3628,85.24,96.0,80.0,28.22,4,3,female
434,144,3772,86.9,96.0,80.0,27.09,4,4,female
435,223,3995,85.65,96.0,80.0,29.39,4,4,female
436,494,4489,91.79,96.0,80.0,58.05,4,4,female
437,2100,6589,88.0,96.0,80.0,67.43,4,4,female
438,705,7294,90.8,96.0,80.0,66.3,2,5,female
439,313,7607,88.64,96.0,80.0,56.74,2,5,female
440,1104,8711,85.33,96.0,80.0,58.48,2,5,female
441,1906,10617,94.12,96.0,80.0,74.22,2,5,female
442,1548,12165,85.0,96.0,80.0,58.93,2,6,female
443,131,131,82.58,96.0,80.0,42.33,5,3,female
444,476,607,94.59,96.0,80.0,80.47,5,3,female
445,351,958,94.55,96.0,80.0,93.57,5,3,female
446,157,1115,85.6,96.0,80.0,36.92,4,3,female
447,233,1348,86.97,96.0,80.0,45.37,4,4,female
448,203,1551,87.79,96.0,80.0,35.69,4,4,female
449,144,1695,85.82,96.0,80.0,36.25,4,4,female
450,3216,4911,92.0,96.0,80.0,83.64,4,4,female
451,140,5051,83.72,96.0,80.0,42.35,4,5,female
452,38,5089,89.41,96.0,80.0,27.04,4,5,female
453,244,5333,87.81,96.0,80.0,52.66,4,5,female
454,59,5392,87.0,96.0,80.0,38.7,4,5,female
455,0,5392,134.0,134.0,134.0,28.0,4,6,female
456,40,40,98.75,139.0,80.0,50.36,4,2,female
457,1882,1922,87.86,96.0,80.0,61.27,4,2,female
458,77,1999,88.32,96.0,80.0,31.88,4,2,female
459,197,2196,85.21,96.0,80.0,30.94,4,3,female
460,121,2317,80.92,96.0,80.0,28.75,4,3,female
461,235,2552,83.2,96.0,80.0,31.75,5,3,female
462,739,3291,84.52,96.0,80.0,37.67,5,3,female
463,134,3425,89.96,96.0,80.0,29.14,5,4,female
